Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2016,1,,0,0,1,1,0,0,0,0,82,92,10
2017,1,,0,0,0,0,1,1,0,1,81,86,5
2019,1,,0,0,0,0,0,1,0,1,81,89,8
2020,0,,-1,0,0,-1,1,0,0,1,86,87,1
2021,-7,,-1,0,-4,-5,-1,-2,0,-3,86,82,-4
2022,-6,,0,0,-3,-3,0,-1,-1,-2,86,84,-2
