Season,Team,Pos,PA,Depth (ft.),Angle
2016,TEX,6,368,145,-15
2016,TEX,4,583,147,12
2016,TEX,5,670,109,-35
2016,TEX,7,300,305,-26
2016,TEX,3,456,103,36
2017,TEX,7,401,294,-26
2017,TEX,4,7,144,11
2017,TEX,6,141,146,-14
2017,TEX,5,74,114,-32
2017,TEX,3,14,105,37
2018,TEX,3,742,107,35
2018,TEX,6,2374,146,-16
2018,TEX,7,3,298,-23
2018,TEX,4,343,146,11
2018,TEX,5,1781,109,-35
2019,OAK,3,33,112,37
2019,OAK,4,4232,146,15
2019,OAK,7,178,291,-27
2020,SD,4,577,146,13
2020,SD,8,37,328,2
2020,SD,9,55,297,26
2020,SD,3,9,106,36
2020,SD,7,1148,302,-26
2021,SD,4,279,146,15
2021,SD,9,830,303,26
2021,SD,7,1088,301,-25
2021,SD,3,500,108,37
2021,SD,8,619,325,1
2022,SD,7,5134,296,-27
