,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2012,TEX,AL,9,17,17,2,3,2,0,1,2,0,4,0,0,0,.176,.176,.471,.647
,2013,TEX,AL,85,324,286,30,67,11,0,6,26,26,63,2,4,5,.234,.308,.336,.644
,2016,TEX,AL,90,307,272,35,65,6,3,5,20,30,61,2,1,3,.239,.321,.338,.659
,2017,TEX,AL,22,70,58,8,10,2,0,0,5,9,14,1,1,1,.172,.294,.207,.501
,2018,TEX,AL,146,594,524,82,133,35,6,20,77,54,88,10,0,12,.254,.335,.458,.793
,2019,OAK,AL,139,518,459,65,100,24,2,20,67,48,75,9,1,8,.218,.301,.410,.711
,2020,SD,NL,56,202,180,28,50,6,0,7,25,15,28,7,1,4,.278,.343,.428,.771
,2021,SD,NL,137,412,353,47,80,17,2,4,33,49,65,10,5,6,.227,.329,.320,.649
,2022,SD,NL,152,658,575,82,140,36,2,15,58,73,103,5,1,4,.243,.331,.391,.722
,9 Seasons,3 Teams,,836,3102,2724,379,648,139,15,78,313,304,501,46,14,43,.238,.322,.386,.708
