 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2017,6,8,75,2,1.7,1.4,0.2,3.2,35.9
2020,8,17,47.1,0,1.3,-0.3,0.1,0.8,33.8
2021,15,37,40.5,-4,0.9,-1.1,-0.9,-1.2,32.9
2022,23,65,35.4,-4,0.5,-0.7,-0.4,-0.6,32.2
