BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
DemeritteRF,4,0,2,0,0,1,1,.327,.914
Olson1B,4,1,1,1,0,1,4,.262,.841
Albies2B,4,1,2,2,0,0,0,.239,.713
OzunaLF,4,1,1,2,0,3,2,.205,.602
d'ArnaudC,3,1,0,0,0,2,0,.269,.729
Riley3B,4,0,3,1,0,1,0,.254,.839
SwansonSS,4,0,0,0,0,2,3,.228,.685
"Contreras, WmDH",2,1,0,0,1,1,2,.273,1.203
HerediaCF,2,0,0,0,0,2,1,.114,.519
a-DuvallPH-CF,0,1,0,0,1,0,0,.200,.570
,31,6,9,6,2,13,13,,
