PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
Cueto,7.0,8,4,3,1,0,0,2.89
Graveman,1.0,0,0,0,0,1,0,2.16
"Hendriks(L, 1-3)",1.0,4,3,3,0,1,0,3.13
,9.0,12,7,6,1,2,0,
