PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Darvish(W, 14-7)",8.0,2,0,0,0,7,0,3.16
"Hader(S, 32)",1.0,1,0,0,0,3,0,5.98
,9.0,3,0,0,0,10,0,
