PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Gilbert, L(L, 12-6)",5.0,4,1,1,3,5,0,3.19
"Swanson, E",1.0,0,0,0,0,3,0,1.17
Festa,0.2,1,0,0,0,0,0,3.55
Brash,1.1,1,0,0,0,2,0,4.33
Sewald,1.0,2,1,0,1,1,0,2.62
,9.0,8,2,1,4,11,0,
