PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
Davies,5.2,2,1,1,2,1,1,3.86
"Mantiply(W, 2-4)",1.1,0,0,0,0,2,0,2.13
Devenski,0.2,2,2,2,0,1,0,7.59
"Kennedy, I(H, 10)",0.1,1,0,0,0,0,0,3.27
Melancon,1.0,0,0,0,1,0,0,5.06
,9.0,5,3,3,3,4,1,
