PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Wainwright(L, 6-6)",5.2,8,4,4,1,5,2,3.26
Naughton,1.0,0,0,0,0,0,0,4.76
Naile,1.1,1,0,0,0,2,0,0.00
,8.0,9,4,4,1,7,2,
