BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
EdmanSS,4,0,1,0,0,1,2,.270,.735
DonovanLF,4,0,1,0,0,2,2,.296,.819
Goldschmidt1B,4,0,0,0,0,0,2,.341,1.048
Arenado3B,4,0,1,0,0,1,1,.290,.891
Gorman2B,4,0,0,0,0,3,1,.248,.775
YepezDH,3,0,0,0,0,1,1,.276,.823
CarlsonCF,2,0,1,0,1,0,0,.255,.737
CapelRF,3,0,0,0,0,0,2,.143,.286
KniznerC,2,0,0,0,1,0,1,.183,.523
,30,0,4,0,2,8,12,,
