BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,0,0,0,0,1,2,.215,.826
Hoskins1B,4,2,2,1,0,1,0,.257,.850
"Castellanos, NRF",4,1,1,1,0,0,0,.248,.679
"Hall, DDH",4,0,1,0,0,2,1,.222,.944
1-VierlingPR-DH,0,0,0,0,0,0,0,.245,.708
RealmutoC,4,1,2,2,0,0,1,.242,.688
Bohm3B,4,0,1,0,0,2,2,.265,.660
"Herrera, OCF",4,0,1,0,0,1,4,.242,.685
StottSS,2,0,0,0,1,0,1,.185,.542
"Munoz, Y2B",3,0,1,0,0,0,0,.259,.889
,33,4,9,4,1,7,11,,
