 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2015,,320,17.2,28.7%,4.1%,221,23.3,9.0%,20.8%
2016,,6,19.9,0.0%,16.7%,6,23.0,0.0%,33.3%
2017,,677,17.7,23.5%,1.9%,352,23.8,0.3%,13.9%
2018,,682,17.3,24.8%,3.1%,397,23.9,1.0%,18.9%
2019,,872,17.6,21.4%,4.7%,391,24.0,0.0%,16.4%
2020,,313,17.4,24.6%,2.2%,166,22.8,2.4%,11.4%
2021,,645,18.6,15.0%,2.9%,366,24.3,0.8%,17.5%
2022,,1024,18.3,16.3%,4.3%,463,24.6,0.4%,21.6%
