,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,669,577,100,126,46,94,10,.218,.323,.504,.827
8 Seasons,3248,2782,471,648,199,444,22,.233,.339,.495,.834
