Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2015,CHC,NL,273,113,107,0,1,.293,23,4,43,1163,4.260,.282,.059,.468,.241,0,0
2016,CHC,NL,5,0,4,0,0,.000,0,0,1,28,5.600,.400,.000,.500,.000,0,0
2017,CHC,NL,486,197,176,0,0,.244,47,6,45,2110,4.342,.309,.062,.393,.256,2,0
2018,CHC,NL,510,200,204,1,2,.288,43,6,60,2139,4.194,.275,.051,.557,.229,1,0
2019,CHC,NL,610,281,191,0,6,.276,70,6,61,2539,4.162,.256,.062,.449,.282,4,1
2020,CHC,NL,224,75,95,0,0,.219,17,3,20,955,4.263,.295,.049,.455,.204,2,0
2021,WSH,NL,303,151,114,0,2,.273,34,4,35,1239,4.089,.290,.083,.352,.317,4,2
2021,BOS,AL,168,70,49,0,0,.364,17,0,13,747,4.446,.232,.042,.846,.231,1,0
2021,2 Teams,,471,221,163,0,2,.306,51,4,48,1986,4.217,.270,.068,.504,.288,5,2
2022,PHI,NL,669,291,209,0,2,.240,70,10,59,2878,4.302,.299,.069,.430,.286,3,0
8 Seasons,4 Teams,,3248,1378,1149,1,13,.268,321,39,337,13798,4.248,.283,.061,.462,.262,17,3
