Season,Age,Pitches,"Batted
Balls",Barrels,Barrel %,Barrel/PA,"Exit
Velocity",Max EV,"Launch
Angle","Sweet
Spot %",XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%
2015,22,1163,156,19,12.2,7.0,91.9,111.3,15.5,32.1,.241,.485,.364,.365,.464,42.3,28.2,13.2
2016,23,28,2,0,0.0,0.0,101.6,108.2,3.1,0.0,.260,.293,.138,.330,.478,100.0,40.0,20.0
2017,24,2110,272,41,15.1,8.4,89.6,116.1,18.6,29.8,.224,.488,.333,.347,.459,41.5,30.9,12.1
2018,25,2139,291,37,12.7,7.3,90.9,117.1,12.3,34.0,.245,.472,.343,.350,.450,45.0,27.5,15.3
2019,26,2539,379,55,14.5,9.0,93.5,117.6,15.5,35.6,.264,.553,.357,.375,.472,51.2,25.6,11.5
2020,27,955,125,14,11.2,6.3,92.8,114.9,8.8,28.8,.224,.441,.307,.340,.429,47.2,29.5,13.4
2021,28,1986,274,48,17.5,10.2,92.3,116.6,15.4,36.9,.265,.565,.392,.399,.510,52.2,27.0,13.6
2022,29,2878,379,76,20.1,11.4,93.3,114.8,19.2,35.4,.237,.535,.355,.375,.501,54.4,29.9,12.9
Player,,13798,1878,290,15.4,8.9,92.1,117.6,15.7,33.9,.245,.515,.352,.367,.475,48.7,28.3,13.1
MLB,,,,,6.7,4.6,88.4,122.4,12.1,33.0,.245,.405,.316,.315,.368,35.8,22.1,8.4
