Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,--,0,0.4,0,0,1,0,--
2017,,23.9,31,29.6,1,12,11,19,61.3
2018,,24.6,26,25.4,1,5,14,14,53.8
2019,,24.8,38,35.2,3,17,26,17,44.7
2020,,24.2,11,11.6,-1,4,8,5,45.5
2021,,23.4,35,35.9,-1,3,23,18,51.4
2022,,24.2,52,50.9,1,8,32,25,48.1
Player,,24.2,193,189.0,4,49,115,98,50.8
