 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2017,9,35,25.7,-7,-0.4,-1.7,-0.4,-2.5,30.6
2018,14,55,25.5,-10,-1,-1.7,0.1,-2.6,30.1
2019,20,60,33.3,-8,-0.5,-1.1,0,-1.6,30.8
2020,6,24,25,-4,-0.9,-1.3,0.8,-1.9,30.2
2021,11,33,33.3,-4,-0.7,-0.5,0.4,-0.9,31.9
2022,15,57,26.3,-10,-1.2,-1.7,0.8,-2.1,30.8
