Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,L,4,2,50.0,.345,.000
2017,L,484,345,71.3,.346,.328
2018,L,490,316,64.5,.276,.380
2019,L,600,416,69.3,.366,.353
2020,L,223,183,82.1,.337,.300
2021,L,467,379,81.2,.435,.385
2022,L,665,602,90.5,.261,.365
