Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,596",55.5,367,315,75,38,9,2,26,85,230,.238,.269,.527,.593,.376,.410,94.8,22,22.4,19.3
2022,Breaking,866,30.1,193,163,34,14,9,1,10,71,92,.209,.203,.460,.460,.346,.344,90.3,18,34.8,23.8
2022,Offspeed,416,14.5,106,99,17,4,3,0,10,44,57,.172,.194,.505,.475,.297,.309,89.5,8,43.0,30.8
2021,Fastballs,"1,107",55.7,279,239,74,37,13,0,24,72,167,.310,.297,.665,.657,.447,.440,94.4,21,23.7,23.2
2021,Breaking,584,29.4,115,94,18,11,2,0,5,39,56,.191,.202,.372,.385,.314,.331,89.7,11,39.8,20.5
2021,Offspeed,295,14.9,76,66,14,7,4,0,3,16,51,.212,.240,.409,.489,.308,.353,88.3,3,29.7,18.6
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
