 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2011,,42,13.9,66.7%,0.0%,30,19.6,6.7%,0.0%
2012,,240,15.4,44.2%,2.1%,136,21.5,0.7%,13.2%
2013,,411,16.1,37.5%,2.2%,224,22.9,2.2%,8.9%
2014,,545,17.1,31.7%,3.1%,302,23.7,1.0%,14.6%
2015,,787,18.2,26.2%,5.6%,419,25.2,5.0%,26.5%
2016,,927,18.9,18.3%,5.4%,383,25.8,2.1%,24.5%
2017,,881,17.8,21.7%,3.0%,493,23.6,0.6%,14.6%
2018,,849,17.9,18.4%,1.5%,294,23.5,0.7%,16.7%
2019,,832,16.7,30.6%,1.9%,396,23.5,1.3%,15.9%
2020,,292,18.2,20.2%,4.5%,118,23.9,0.0%,18.6%
2021,,968,17.6,22.1%,3.2%,431,23.7,0.5%,15.5%
2022,,832,18.8,12.9%,5.8%,342,24.5,0.6%,21.6%
