PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
Plesac,6.1,5,5,4,2,4,1,4.68
"De Los Santos, E",0.2,0,0,0,0,2,0,4.26
Gose,1.0,1,3,2,1,1,1,5.79
Sandlin,1.0,0,0,0,3,0,0,4.09
"Clase(W, 1-2)(BS, 2)",1.0,1,1,0,1,0,0,2.92
"Stephan(S, 1)",1.0,0,0,0,0,2,0,1.35
,11.0,7,9,6,7,9,2,
