PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Nola, Aa(L, 9-12)",7.0,7,4,4,2,8,1,3.38
Hand,1.0,1,0,0,0,1,0,2.22
,8.0,8,4,4,2,9,1,
