Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2015,CWS,AL,P,26,23,139.1,22,3,19,0,2,,1.000
2016,CWS,AL,P,28,28,165.0,17,5,11,1,0,,.941
2017,CWS,AL,P,12,12,69.1,9,2,7,0,0,,1.000
2018,CWS,AL,P,20,20,120.2,16,3,12,1,0,,.938
2019,CWS,AL,P,7,7,34.2,1,0,1,0,0,,1.000
2020,CWS,AL,P,4,2,7.2,1,0,1,0,0,,1.000
2021,CWS,AL,P,24,24,132.2,10,3,5,2,0,,.800
2022,SF,NL,P,31,31,178.0,12,3,9,0,0,,1.000
8 Seasons,2 Teams,,P,152,147,847.1,88,19,65,4,2,,.955
