BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Joe1B,5,0,0,0,0,2,7,.270,.863
BlackmonRF,3,0,0,0,1,0,0,.262,.816
GrichukCF,4,0,0,0,0,3,1,.327,.879
CronDH,4,0,1,0,0,2,1,.280,.957
McMahon3B,3,1,1,0,1,1,1,.242,.743
IglesiasSS,4,0,1,0,0,0,2,.333,.774
HilliardLF,2,0,1,1,2,0,1,.250,.721
Trejo2B,4,0,1,0,0,1,3,.259,.656
NuñezC,0,0,0,0,2,0,0,.154,.599
"a-Díaz, EPH-C",2,0,0,0,0,1,3,.245,.650
,31,1,5,1,6,10,19,,
