PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
Archer,4.0,1,1,1,6,2,0,3.08
Moran,1.1,0,0,0,1,3,0,1.32
"Duffey(H, 9)",1.2,0,0,0,0,4,0,4.64
"Thornburg(L, 0-1)(BS, 1)",1.2,2,4,3,3,0,1,3.32
,8.2,3,5,4,10,9,1,
