PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
Bieber,6.0,5,3,3,2,5,0,3.16
Stephan,1.0,1,0,0,0,0,0,3.14
Shaw,1.0,0,0,0,0,1,0,5.11
"Clase(W, 2-2)",1.0,1,0,0,0,1,0,1.35
,9.0,7,3,3,2,7,0,
