PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Gore(W, 4-1)",6.0,3,0,0,3,10,0,1.50
Crismatt,1.0,1,0,0,0,1,0,1.80
"García, L",1.0,2,0,0,0,1,0,2.53
Rogers,1.0,0,0,0,0,0,0,3.13
,9.0,6,0,0,3,12,0,
