Name,Year,0ft,5ft,10ft,15ft,20ft,25ft,30ft,35ft,40ft,45ft,50ft,55ft,60ft,65ft,70ft,75ft,80ft,85ft,90ft
"Lindor, Francisco - LHB",2015,0.00,0.54,0.82,1.06,1.29,1.51,1.72,1.92,2.11,2.29,2.47,2.65,2.82,3.00,3.17,3.34,3.51,3.69,3.87
"Lindor, Francisco - RHB",2015,0.00,0.54,0.83,1.08,1.31,1.54,1.75,1.95,2.14,2.33,2.51,2.69,2.86,3.03,3.20,3.37,3.55,3.72,3.90
"Lindor, Francisco - LHB",2016,0.00,0.53,0.81,1.07,1.31,1.53,1.74,1.94,2.13,2.32,2.50,2.68,2.86,3.04,3.21,3.39,3.57,3.76,3.95
"Lindor, Francisco - RHB",2016,0.00,0.55,0.84,1.10,1.34,1.57,1.78,1.98,2.17,2.36,2.55,2.73,2.91,3.08,3.26,3.44,3.61,3.80,3.99
"Lindor, Francisco - LHB",2017,0.00,0.52,0.80,1.05,1.29,1.51,1.72,1.92,2.11,2.29,2.48,2.65,2.83,3.01,3.18,3.35,3.53,3.71,3.89
"Lindor, Francisco - RHB",2017,0.00,0.55,0.84,1.10,1.34,1.56,1.77,1.97,2.17,2.35,2.53,2.72,2.89,3.07,3.24,3.41,3.58,3.75,3.93
"Lindor, Francisco - LHB",2018,0.00,0.54,0.82,1.08,1.31,1.54,1.74,1.94,2.13,2.31,2.50,2.67,2.85,3.02,3.19,3.36,3.53,3.70,3.89
"Lindor, Francisco - RHB",2018,0.00,0.54,0.84,1.10,1.34,1.57,1.78,1.98,2.17,2.36,2.54,2.72,2.89,3.07,3.24,3.41,3.58,3.75,3.93
"Lindor, Francisco - LHB",2019,0.00,0.53,0.81,1.07,1.30,1.53,1.74,1.94,2.13,2.31,2.50,2.68,2.85,3.03,3.20,3.38,3.56,3.74,3.94
"Lindor, Francisco - RHB",2019,0.00,0.54,0.83,1.09,1.33,1.55,1.76,1.96,2.16,2.34,2.53,2.71,2.88,3.06,3.23,3.40,3.57,3.75,3.93
"Lindor, Francisco - LHB",2020,0.00,0.55,0.87,1.13,1.37,1.60,1.81,2.02,2.22,2.41,2.60,2.78,2.96,3.14,3.32,3.50,3.68,3.87,4.08
"Lindor, Francisco - RHB",2020,0.00,0.58,0.89,1.16,1.40,1.62,1.83,2.04,2.23,2.43,2.61,2.80,2.98,3.15,3.33,3.50,3.68,3.86,4.04
"Lindor, Francisco - LHB",2021,0.00,0.54,0.85,1.11,1.34,1.56,1.77,1.97,2.17,2.36,2.54,2.72,2.91,3.08,3.26,3.44,3.61,3.79,3.99
"Lindor, Francisco - RHB",2021,0.00,0.56,0.87,1.14,1.38,1.60,1.81,2.01,2.21,2.39,2.58,2.76,2.94,3.12,3.29,3.47,3.64,3.81,4.01
"Lindor, Francisco - LHB",2022,0.00,0.55,0.86,1.12,1.36,1.58,1.79,1.99,2.19,2.38,2.56,2.75,2.93,3.10,3.29,3.46,3.65,3.84,4.04
"Lindor, Francisco - RHB",2022,0.00,0.56,0.88,1.15,1.39,1.61,1.82,2.03,2.22,2.41,2.59,2.77,2.95,3.13,3.31,3.48,3.66,3.84,4.03

