Season,Team,Pos,PA,Depth (ft.),Angle
2016,CLE,6,5530,147,-11
2017,CLE,6,5576,148,-12
2018,CLE,6,5656,148,-12
2019,CLE,6,4998,148,-12
2020,CLE,6,2044,148,-11
2021,NYM,6,4271,146,-11
2022,NYM,6,5693,145,-11
