Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2015,CLE,AL,438,188,142,13,7,.348,38,12,73,1578,3.603,.158,.027,.391,.169,4,0
2016,CLE,AL,684,263,258,3,15,.324,48,18,115,2552,3.731,.129,.022,.648,.134,6,1
2017,CLE,AL,723,329,229,5,3,.275,81,11,86,2727,3.772,.129,.046,.645,.232,6,1
2018,CLE,AL,745,343,191,3,3,.279,82,5,72,2920,3.919,.144,.051,.654,.242,5,1
2019,CLE,AL,654,310,184,1,6,.291,74,13,68,2426,3.709,.150,.049,.469,.234,3,0
2020,CLE,AL,266,98,111,0,2,.280,21,8,39,1118,4.203,.154,.030,.585,.157,1,0
2021,NYM,NL,524,186,171,6,3,.248,39,7,85,2096,4.000,.183,.038,.604,.181,4,0
2022,NYM,NL,706,283,293,0,7,.301,56,11,128,2829,4.007,.188,.037,.444,.179,7,1
8 Seasons,2 Teams,,4740,2000,1579,31,46,.294,439,85,666,18246,3.849,.153,.039,.553,.197,36,4
