PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Suarez, J(L, 4-5)",5.1,4,3,3,0,5,0,4.12
Herget,2.2,1,0,0,1,3,0,2.89
Chavez,1.0,4,5,5,1,1,1,3.73
,9.0,9,8,8,2,9,1,
