Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,26,26.4,4.63,,52,38,410,39.4
2016,27,27.0,4.4,,41,34,331,51.8
2017,28,27.0,4.39,,44,26,330,51.0
2018,29,26.5,4.47,,53,24,402,40.1
2019,30,26.3,4.53,,51,19,424,38.1
2020,31,26.5,4.58,,40,13,306,39.0
2021,32,26.6,4.56,,50,18,402,40.6
2022,33,26.4,4.61,,50,11,445,28.7
