BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,3,1,3,0,0,0,0,.300,.920
b-DubónPH-SS,2,0,1,1,0,0,0,.213,.559
PeñaSS,4,1,2,2,0,1,2,.253,.715
Hensley2B,0,1,0,0,1,0,0,.321,.924
"Alvarez, YDH",5,2,3,0,0,0,4,.304,1.017
Bregman3B,4,1,1,1,1,0,3,.259,.820
TuckerRF,3,1,1,3,0,0,2,.258,.810
MeyersCF,2,0,2,1,0,0,0,.224,.581
Gurriel1B,3,1,1,0,0,0,0,.242,.646
Mancini1B,2,0,0,0,0,0,3,.241,.715
DíazLF,5,0,0,0,0,1,3,.243,.693
McCormickCF-RF,2,1,1,0,2,1,0,.239,.726
MaldonadoC,2,1,1,1,0,1,1,.187,.603
a-VázquezPH-C,2,0,1,1,0,0,1,.272,.703
,39,10,17,10,4,4,19,,
