BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichLF,4,0,0,0,0,2,2,.253,.733
AdamesSS,4,0,1,0,0,2,0,.242,.780
Tellez1B,4,1,1,1,0,1,1,.222,.779
RenfroeRF,4,0,1,0,0,2,0,.253,.807
"Wong, Ko2B",2,0,0,0,2,0,0,.252,.773
HiuraDH,3,1,0,0,1,3,4,.229,.780
Peterson3B,4,0,1,0,0,1,1,.243,.716
NarváezC,4,0,0,0,0,1,3,.213,.610
MitchellCF,3,0,2,1,0,1,0,.292,.754
,32,2,6,2,3,13,11,,
