PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Mikolas(W, 12-13)",6.0,4,1,1,1,9,1,3.30
Pallante,1.0,2,1,1,1,0,0,3.16
Helsley,2.0,0,0,0,1,4,0,1.28
,9.0,6,2,2,3,13,1,
