BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,0,0,0,1,1,4,.185,.711
Bohm3B,5,0,0,0,0,1,2,.281,.706
HarperDH,4,1,2,0,0,0,2,.317,.972
"Castellanos, NRF",4,1,2,0,0,0,1,.258,.728
Segura2B,4,0,0,0,0,0,4,.276,.744
Hoskins1B,3,0,0,0,1,1,0,.220,.702
RealmutoC,3,0,2,2,0,0,0,.247,.698
"Herrera, OCF",4,0,0,0,0,1,5,.271,.794
CamargoSS,3,0,1,0,1,1,0,.262,.699
,34,2,7,2,3,5,18,,
