PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Walker, T(W, 3-0)",5.0,6,2,2,3,1,0,2.83
Holderman,2.0,1,0,0,0,3,0,0.00
Ottavino,1.0,0,0,0,0,0,0,3.63
Lugo,1.0,0,0,0,0,1,0,3.72
,9.0,7,2,2,3,5,0,
