PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Eflin(L, 1-4)",6.0,8,7,7,2,4,1,4.60
Norwood,0.2,2,1,1,2,0,0,8.16
Brogdon,1.0,0,0,0,0,1,0,3.24
Domínguez,0.1,0,0,0,0,0,0,2.12
,8.0,10,8,8,4,5,1,
