PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Rodón(W, 2-0)",5.0,3,0,0,2,8,0,1.06
Brebbia,1.2,2,1,1,1,2,0,1.80
Leone,0.1,1,0,0,0,0,0,2.08
"Rogers, Ty",1.0,3,1,1,0,0,0,2.70
"McGee(S, 2)",1.0,0,0,0,1,1,0,1.93
,9.0,9,2,2,4,11,0,
