BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,5,3,3,1,0,0,1,.269,.812
ZimmerCF,0,0,0,0,0,0,0,.130,.466
Guerrero1B,4,0,2,1,1,0,1,.281,.842
BichetteSS,5,0,3,2,0,1,3,.269,.745
KirkC,4,0,0,1,1,0,3,.292,.813
"Hernández, TRF",4,1,1,1,0,1,1,.264,.794
Bradley Jr.RF,1,0,0,0,0,0,3,.201,.560
"Chapman, MDH",5,1,1,0,0,2,2,.236,.778
Biggio2B,3,0,1,1,0,1,0,.223,.730
a-MerrifieldPH-2B,1,0,0,0,0,0,0,.236,.629
Gurriel Jr.LF,4,1,3,0,0,0,0,.292,.744
Espinal3B,3,1,0,0,1,0,3,.264,.692
,39,7,14,7,3,5,17,,
