PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
"Baumann(L, 1-3)",5.0,8,3,3,0,2,0,4.76
Krehbiel,1.1,1,0,0,0,0,0,2.88
Baker,1.1,1,1,1,1,2,1,4.15
"Hall, DL",0.1,4,3,3,1,0,0,14.40
Sulser,1.0,0,0,0,1,1,0,3.86
,9.0,14,7,7,3,5,1,
