PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Gausman(W, 11-9)",6.2,7,2,2,0,6,1,3.12
"Mayza(H, 14)",0.2,1,1,1,0,1,1,3.05
"Cimber(H, 14)",0.2,0,0,0,0,1,0,3.24
Pop,1.0,0,0,0,0,1,0,3.25
,9.0,8,3,3,0,9,2,
