BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
OrtegaCF,4,0,1,0,0,0,1,.237,.690
ContrerasDH,4,1,1,0,0,1,1,.258,.843
"Suzuki, SRF",4,2,2,1,0,0,0,.272,.816
HappLF,4,1,1,2,0,1,0,.282,.812
HoernerSS,4,0,2,1,0,0,0,.306,.780
Wisdom3B,4,0,1,0,0,0,2,.221,.755
GomesC,4,0,1,0,0,1,4,.221,.586
Rivas1B,2,0,1,0,1,0,0,.228,.629
Morel2B,3,0,0,0,0,0,3,.277,.835
,33,4,10,4,1,3,11,,
