PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Bassitt(L, 2-1)",6.0,8,5,5,1,6,1,3.00
Shreve,1.0,0,0,0,1,1,0,1.42
Reid-Foley,2.0,0,0,0,1,3,0,7.71
,9.0,8,5,5,3,10,1,
