BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Díaz, YDH",4,1,1,0,0,1,1,.280,.799
MargotRF,4,0,1,0,0,1,0,.303,.789
ArozarenaLF,4,0,2,1,0,1,0,.260,.772
"Ramírez, H1B",4,0,0,0,0,2,3,.325,.808
Paredes3B,4,0,1,0,0,1,1,.219,.751
BethancourtC,3,0,0,0,0,1,1,.235,.662
a-PeraltaPH,0,0,0,0,1,0,0,.249,.746
Chang2B,2,0,1,0,1,1,1,.205,.567
b-ChoiPH,1,0,0,0,0,1,1,.236,.723
WallsSS,4,0,0,0,0,2,3,.176,.557
SiriCF,3,0,0,0,0,1,2,.193,.569
,33,1,6,1,2,12,13,,
