BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
JoeDH,4,0,1,0,0,1,1,.340,1.010
GrichukRF,3,0,2,0,1,1,0,.333,.789
BryantLF,3,0,0,0,0,2,4,.326,.778
HilliardLF,1,0,1,0,0,0,0,.316,.749
Cron1B,4,0,0,0,0,3,6,.308,1.089
"Díaz, EC",4,0,0,0,0,2,2,.268,.701
McMahon3B,3,0,1,0,1,1,0,.233,.759
Rodgers2B,4,0,0,0,0,0,4,.087,.266
IglesiasSS,2,0,1,0,0,0,0,.300,.731
a-TrejoPH-SS,1,0,0,0,0,0,0,.385,1.000
DazaCF,3,0,1,0,0,0,1,.467,.934
,32,0,7,0,2,10,18,,
