PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Skubal(W, 1-1)",6.0,5,0,0,0,6,0,2.30
"Peralta, Wi",1.0,1,0,0,0,1,0,0.00
De Jesus,2.0,1,0,0,2,3,0,0.00
,9.0,7,0,0,2,10,0,
