,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,507,470,56,106,23,56,2,.226,.274,.413,.687
10 Seasons,4843,4422,582,1186,196,676,28,.268,.327,.456,.783
