Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Memphis Redbirds,Triple-A,Batting Third,6,5,,1,0,0,0,1,1,0,,,0,.200,.333,.200,.533
Memphis Redbirds,Triple-A,Batting Fourth,6,4,,3,1,0,1,5,1,0,,,1,.750,.833,1.750,2.583
