Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,24,28.2,4.45,6,36,19,120,82.4
2016,25,28.0,4.39,,44,27,165,76.1
2017,26,27.8,4.39,2,29,30,198,70.6
2018,27,27.8,4.42,1,35,28,206,69.4
2019,28,27.5,4.43,,40,29,248,63.8
2020,29,27.1,4.51,,7,15,211,58.0
2021,30,26.5,4.55,,51,32,405,40.1
2022,31,26.6,4.67,,16,29,426,31.8
