PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
"Martin, B",1.0,1,0,0,2,0,0,3.63
Hearn,4.0,0,0,0,2,1,0,5.86
"Burke(BS, 1)",1.0,3,2,2,0,0,1,1.30
Moore,2.0,2,0,0,1,1,0,2.14
"Barlow, J(W, 3-1)",1.0,0,0,0,0,1,0,2.84
,9.0,6,2,2,5,3,1,
