BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Thomas, LCF-LF",4,0,1,0,0,0,4,.235,.710
"Soto, JRF",4,1,1,0,0,1,2,.215,.796
Bell1B,3,0,1,0,1,0,1,.303,.873
"Cruz, NDH",3,1,1,2,1,0,1,.249,.727
"García, LSS",4,0,0,0,0,0,2,.311,.767
"Ruiz, KC",4,0,1,0,0,0,0,.255,.667
Hernández2B,3,0,0,0,1,0,1,.263,.643
"Hernandez, YLF",2,0,1,0,1,0,0,.273,.713
1-RoblesPR-CF,1,0,0,0,0,1,0,.235,.611
Adrianza3B,2,0,0,0,1,1,2,.156,.394
,30,2,6,2,5,3,13,,
