BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,4,0,0,0,0,0,3,.227,.639
SeagerSS,4,0,0,0,0,3,0,.227,.726
"García, AdRF",4,1,1,1,0,2,0,.257,.786
CalhounLF,3,0,0,0,0,1,0,.235,.686
GarverDH,2,1,0,0,1,1,0,.201,.671
"Lowe, N1B",3,1,1,2,0,1,0,.276,.767
"Smith, Josh3B",3,0,1,0,0,0,0,.333,.881
TaverasCF,3,0,1,0,0,1,1,.259,.606
ViloriaC,3,0,2,0,0,1,0,.667,1.334
1-CulbersonPR,0,0,0,0,0,0,0,.238,.527
HeimC,0,0,0,0,0,0,0,.244,.766
,29,3,6,3,1,10,4,,
