BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
LeMahieu3B,4,1,1,2,1,1,2,.260,.756
JudgeCF,4,1,1,3,1,0,1,.294,1.013
Rizzo1B,2,0,0,0,2,0,0,.221,.822
StantonRF,4,1,1,1,0,2,3,.242,.830
DonaldsonDH,3,0,0,0,1,2,0,.226,.700
Torres2B,3,0,0,0,1,0,1,.250,.789
Gonzalez2B,0,0,0,0,0,0,0,.238,.674
"Hicks, ALF",4,1,0,0,0,3,2,.222,.630
Kiner-FalefaSS,3,1,1,0,0,0,0,.266,.635
TrevinoC,3,0,0,0,0,1,1,.270,.774
a-CarpenterPH,0,1,0,0,1,0,0,.257,1.195
,30,6,4,6,7,9,10,,
