PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Cortes,5.0,5,3,3,2,7,1,2.51
Castro,2.0,1,0,0,0,3,0,3.65
"Peralta, Wa",1.0,0,0,0,1,2,0,2.25
Holmes,1.0,0,0,0,1,1,0,0.52
"King(W, 5-1)",1.0,0,0,0,1,1,0,2.45
,10.0,6,3,3,5,14,1,
