PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
Urquidy,7.0,1,1,1,3,3,1,4.36
"Maton, P(BS, 2)",0.2,2,2,2,2,2,1,3.77
"Abreu, B",0.1,0,0,0,0,1,0,2.28
Stanek,1.0,0,0,0,1,2,0,0.71
"Martinez, S(L, 0-1)",0.2,1,3,2,1,1,1,1.02
,9.2,4,6,5,7,9,3,
