BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,3,1,1,1,2,1,1,.275,.895
BrantleyDH,3,0,0,0,0,2,2,.288,.786
a-MatijevicPH-DH,2,0,0,0,0,2,2,.125,.625
Bregman3B,3,0,1,0,2,1,0,.234,.764
TuckerRF,5,0,0,0,0,2,6,.254,.832
Gurriel1B,5,1,2,0,0,1,4,.223,.645
PeñaSS,4,1,1,0,0,3,1,.277,.804
DubónLF-CF,4,0,1,2,0,0,1,.242,.658
MeyersCF,3,0,0,0,0,1,1,.200,.400
"b-Alvarez, YPH",0,0,0,0,1,0,0,.312,1.053
DíazLF,0,0,0,0,0,0,0,.217,.565
MaldonadoC,3,0,0,0,0,1,0,.147,.494
c-CastroPH-C,1,0,0,0,0,0,1,.095,.312
,36,3,6,3,5,14,19,,
