PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Sandoval,5.0,8,1,1,2,6,1,2.63
"Bradley(L, 0-1)(H, 4)",0.2,0,3,0,2,1,0,4.82
"Quijada(BS, 1)",1.0,2,1,1,2,2,0,2.70
"Peguero, E",2.1,1,0,0,0,1,0,7.36
,9.0,11,5,2,6,10,1,
