BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
WardRF,5,0,1,0,0,1,2,.306,.953
TroutCF,4,0,1,0,1,0,1,.289,1.050
OhtaniDH,4,1,1,1,1,1,3,.261,.832
Walsh1B,4,0,1,0,0,2,2,.261,.782
Rengifo2B,4,0,2,0,0,1,4,.233,.628
MarshLF,3,0,0,0,0,1,1,.229,.629
b-StassiPH-C,1,0,0,0,0,0,1,.224,.664
SuzukiC,4,1,1,1,0,1,0,.205,.630
"Harrison, MLF",0,0,0,0,0,0,0,.000,.000
Wade3B-SS,2,1,2,0,1,0,0,.227,.557
c-DuffyPH,1,0,0,0,0,0,0,.263,.603
"Velazquez, ASS",2,0,0,0,0,1,2,.174,.489
a-MacKinnonPH-3B,1,0,1,1,1,0,0,.286,.741
,35,3,10,3,4,8,16,,
