PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Cole(W, 8-2)",6.0,5,5,5,3,7,2,3.26
"Peralta, Wa(H, 8)",1.1,0,0,0,0,2,0,1.99
"King(H, 13)",0.2,0,0,0,1,1,0,2.23
"Holmes(S, 16)",1.0,0,0,0,0,1,0,0.47
,9.0,5,5,5,4,11,2,
