BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SlaterCF,2,0,0,0,0,2,2,.250,.771
a-YastrzemskiPH-CF,2,0,0,0,0,0,1,.270,.816
Ruf1B,4,0,0,0,0,0,1,.220,.682
RamosRF,2,0,0,0,0,0,0,.182,.432
b-PedersonPH-LF,2,1,1,0,0,1,1,.268,.903
Flores3B,3,0,0,0,1,0,1,.247,.729
Estrada2B,3,1,1,1,1,0,0,.276,.738
"Crawford, BraSS",2,1,0,0,2,2,2,.222,.668
WynnsDH,4,0,2,0,0,1,4,.667,1.334
CasaliC,4,0,0,0,0,3,7,.227,.694
"Gonzalez, LLF-RF",2,0,1,1,1,0,2,.312,.797
,30,3,5,2,5,9,21,,
