BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Hernández, KCF",4,0,0,0,1,0,4,.177,.522
Devers3B,5,0,1,0,0,3,2,.335,.940
MartinezDH,5,3,4,0,0,0,1,.344,.965
BogaertsSS,5,0,1,0,0,1,4,.331,.861
VerdugoLF,5,4,3,0,0,0,3,.221,.588
Story2B,4,5,4,7,1,0,0,.230,.730
Dalbec1B,4,0,1,1,1,0,1,.165,.502
VázquezC,4,0,1,1,0,3,2,.226,.590
Bradley Jr.RF,3,0,1,2,1,0,1,.193,.536
,39,12,16,11,4,7,18,,
