BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Hernández2B,5,1,1,1,0,0,2,.278,.650
"Soto, JRF",3,2,2,1,2,0,0,.271,.927
Bell1B,4,1,2,1,1,0,1,.356,.986
"Hernandez, YDH",5,0,2,0,0,0,3,.373,.916
Franco3B,5,1,3,1,0,0,2,.282,.720
"Ruiz, KC",5,1,2,2,0,0,4,.275,.694
Strange-GordonLF,5,0,1,0,0,0,2,.125,.250
RoblesCF,3,1,1,0,0,1,0,.242,.634
"Escobar, ASS",4,0,1,0,0,1,2,.197,.480
,39,7,15,6,3,2,16,,
